Ironman K5100 EIP Drive (★Read-only   ▲Set when servo off   ●Valid After Re-power on   ■Volatile parameter   ◊NEO-S Parameters   ○Set/Get through IO assembly ⌂Digit Check required ¤Set when io connection is not established),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,as of 8192021,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48
243,P2.070,0,,UINT,0x0000,,,,,,,⌂,3,0x0000,0x0007,0x0000,,,DataReadUnitSelection,Data Read Unit Selection,Read Data Format Selection,0x028C,16,All,,,,2,¤,,,,,,,,,,,,,,,,,,,
244,P2.071,0,,UINT,0x0000,,,,■,,,⌂,9,0x0000,0x0001,0x0000,,,ResetAbsolutePosition,Reset Absolute Position,ABS Position Homing,0x028E,16,All,"Note: 1 can be set only when 193(P2.008)=271 and 242(P2.069).X=1
01/02: NOT Config (Reset Encoder Absolution Position)
2019.04.09. Comfirmed.",,,,¤,,,,,,,,,,,,,,,,,,,
245,P2.073,0,,UDINT,0x0000,,,,,,,⌂,9,0x00000000,0x5F3F6F5F,0x00000000,,,ECamConfiguration,E-CAM Configuration,E-CAM Alignment – Operation Setting,0x0292,32,PR/IO,,,,3,¤,,,,,,,,,,,,,,,,,,,
246,P2.074,0,,INT,0x0000,,,,,,,,9,-25000,25000,0,0.001,ms,ECamDIDelayTimeCompensation,E-CAM DI Delay Time Compensation,E-CAM Alignment – DI Delay Time Compensation,0x0294,16,PR/IO,,,,3,¤,,,,,,,,,,,,,,,,,,,
247,P2.075,0,,DINT,0x0000,,,,■,,,,9,-1000000000,1000000000,0,,,ECamAlignementTargetPosition,E-CAM Alignment Position Reference,E-CAM Alignment – Alignment Target Position,0x0296,32,PR/IO,"In manual: max value is (P5.084/P5.083 -1),  for parameter object max value is 1000000000
min value is -(P5.084/P5.083 -1),  for parameter object max value is -1000000000",,,3,¤,,,,,,,,,,,,,,,,,,,
248,P2.076,0,,UINT,0x0000,,,,■,,,⌂,9,0x0000,0x6FF7,0x0000,,,ECamControlConfiguration,E-CAM Control Configuration,E-CAM Alignment – Source Setting,0x0298,16,PR/IO,,,,3,¤,,,,,,,,,,,,,,,,,,,
249,P2.078,0,,INT,0x0000,,,,,,,,9,0,360,270,,Degrees,ECamDOCamArea2RisingEdgeAngle,Ecam DO.Cam Area2 Rising Edge Angle,E-CAM: Area Number #2 + (Polarity is Positive),0x029C,16,PR/IO,,,,3,¤,,,,,,,,,,,,,,,,,,,
250,P2.079,0,,INT,0x0000,,,,,,,,9,0,360,360,,Degrees,ECamDOCamArea2FallingEdgeAngle,Ecam DO.Cam Area2 Falling Edge Angle,E-CAM: Area Number #2 + (Polarity is Negative),0x029E,16,PR/IO,,,,3,¤,,,,,,,,,,,,,,,,,,,
251,P2.081,0,,UINT,0x0000,,,,,,,,3,0,65535,0,,ms,PositionErrorToleranceTime,Position Error Tolerance Time,Position Error Time,0x02A2,16,PT/PR/IO,New added,,,2,¤,,,,,,,,,,,,,,,,,,,
252,P2.093,0,,UINT,0x0000,,,,,,,⌂,3,0x0012,0x0022,0x0012,,,STOFeedbackConfiguration,STO Feedback Configuration,STO FDBK control,0x02BA,16,All,"FRS: 0x0010-FDBK no latch, 0x0020-FDBK latch.
2019.01.07. default 0x0012 Min ?  Needs update.
2019.04.24. Will remove unuse bytes (max 0x0020).
2019.05.08. Will modify to 0x0012 and 0x0022.
2019.05.15. Fixed.",,,2,¤,,,,,,,,,,,,,,,,,,,
253,P2.094,0,,UINT,0x0000,,▲,,,,,⌂,3,0x0000,0x0030,0x0010,,,SpecialFunctionConfiguration3,Special Function Configuration 3,Special-bit Register 3,0x02BC,16,PT/PR/S/Sz/IO,"Delete Bit12, Bit9, Bit8. 
2019.01.07. Default 0x0010, Max needs update after delete Bit 12,9 and 8. or changed to reserved?
2019.01.30. Max changed to 0x00A6. 
bit5: 取消AL016 IGBT保护温度异警。
0x00A6 =0b0000_0000_1010_0110.   
bit2， bit3, bit7. description?
2019.03.29. changed max from 0x00A6 to 0x0030 per test result. Only keep bit 4,5.",,,2,¤,,,,,,,,,,,,,,,,,,,
254,P2.095,0,,INT,0x0000,,,,,,,,5,1,10,5,,,NotchFilter1QValue,Notch Filter 1 Qvalue,Resonance suppression (Notch filter) width (1),0x02BE,16,All,,,,1,¤,,,,,,,,√,,,,,,,,,,,
255,P2.096,0,,INT,0x0000,,,,,,,,5,1,10,5,,,NotchFilter2QValue,Notch Filter 2 Qvalue,Resonance suppression (Notch filter) width (2),0x02C0,16,All,,,,1,¤,,,,,,,,√,,,,,,,,,,,
256,P2.097,0,,INT,0x0000,,,,,,,,5,1,10,5,,,NotchFilter3QValue,Notch Filter 3 Qvalue,Resonance suppression (Notch filter) width (3),0x02C2,16,All,,,,1,¤,,,,,,,,√,,,,,,,,,,,
257,P2.098,0,,INT,0x0000,,,,,,,,5,50,5000,1000,,Hz,NotchFilter4Frequency,Notch Filter 4 Frequency,Resonance Suppression (Notch Filter) (4),0x02C4,16,All,,,,1,¤,,,,,,,,√,,,,,√,,,,,,
258,P2.099,0,,INT,0x0000,,,,,,,,5,0,40,0,,-dB,NotchFilter4Depth,Notch Filter 4 Depth,Resonance Suppression (Notch Filter) Attenuation Rate (4),0x02C6,16,All,,,,1,¤,,,,,,,,√,,,,,√,,,,,,
259,P2.100,0,,INT,0x0000,,,,,,,,5,1,10,5,,,NotchFilter4QValue,Notch Filter 4 Qvalue,Resonance suppression (Notch filter) width (4),0x02C8,16,All,,,,1,¤,,,,,,,,√,,,,,,,,,,,
260,P2.101,0,,INT,0x0000,,,,,,,,5,50,5000,1000,,Hz,NotchFilter5Frequency,Notch Filter 5 Frequency,Resonance Suppression (Notch Filter) (5),0x02CA,16,All,,,,1,¤,,,,,,,,√,,,,,√,,,,,,
261,P2.102,0,,INT,0x0000,,,,,,,,5,0,40,0,,-dB,NotchFilter5Depth,Notch Filter 5 Depth,Resonance Suppression (Notch Filter) Attenuation Rate (5),0x02CC,16,All,,,,1,¤,,,,,,,,√,,,,,√,,,,,,
262,P2.103,0,,INT,0x0000,,,,,,,,5,1,10,5,,,NotchFilter5QValue,Notch Filter 5 Qvalue,Resonance suppression (Notch filter) width (5),0x02CE,16,All,,,,1,¤,,,,,,,,√,,,,,,,,,,,
263,P2.104,0,,INT,0x0000,,,,,,,,3,1,800,800,,%,PItoPTorqueThreshold,Torque Threshold to switch from PI to P,P/PI torque switching command condition,0x02D0,16,PT/PR/S/Sz/IO,,,,2,¤,,,,,,,,,,,,,,,,,,,
264,P2.105,0,,INT,0x0000,,,,,,,,5,1,21,11,,,AutoTuningBandwidth,Auto Tuning Bandwidth Configuration,Automatic gain adjustment level 1,0x02D2,16,PT/PR/IO,,,,1,¤,,,,,,,,,,,,,,,,,,,
265,P2.106,0,,DINT,0x0000,,,,,,,,5,1,50331648,2000,,,AutoTuningOvershoot,Auto Tuning Overshoot Configuration,Automatic gain adjustment level 2,0x02D4,32,PT/PR/IO,,,,1,¤,,,,,,,,,,,,,,,,,,,
266,P2.112,0,,UINT,0x0000,,▲,,,,,,3,0x0000,0x000F,0x000C,,,SpecialFunctionConfiguration4,Special Function Configuration 4,Special bit register 4,0x02E0,16,PT/PR/S/Sz/IO,Range: 0 ~ F,,,2,¤,,,,,,,,,,,,,,,,,,,
654,P2.123,0,,DINT,0x0000,,,,,,,,5,0,2147483647,0,,,PositionLoopIzone,Position Loop Izone,Position Loop Izone,0x02F6,32,PT/PR/IO,"new feature. The region, in counts, around the commanded position where
integral gain is active. If the position error is greater than Ki
Zone, the integrator is reset. It has a range of 0…32,767 counts.
2018.01.07: Delta update  Max from 0xFFFFFFFF to 2147483647 (2^31-1)",,,1,¤,,,,,,,,,,,,,,,,,,,
267,P3.004,0,,UINT,0x0000,,,,,,,,7,0,20,0,,s,USBCommTimeout,USB Communication Time Out,Communication Time Out,0x0308,16,All,"01/02: NOT Config (for USB), 
2019.04.26.Temp R-only for ODVA test.
2019.04.25. Reserve and keep it.",,,,,,,,,,,,,,,,,,,,,,,
268,P3.006,0,,UINT,0x0000,,,,■,,,,6,0x0000,0x1FFF,0x0000,,,DIControlSource,Digital Input Control Source,Control Switch of Digital Input (DI),0x030C,16,All,,,,3,¤,,,,,,,,,,,,,,,,,,,
269,P3.007,0,,UINT,0x0000,,,,,,,,7,0,1000,0,,0.5ms,USBCommRespDelayTime,USB Communication Response Delay Time,Communication Response Delay Time,0x030E,16,All,"01/02: NOT Config (for USB)
2019.05.08. Reserve and keep it.",,,,,,,,,,,,,,,,,,,,,,,
270,P3.039,6,20.F5.24.01.30.05,UDINT,0x0000,,▲,●,,◊,,,7,0,0xFFFFFFFF,0xC0A80101,,,IPAddress,IP Address,IP address,0x034E,32,All,"four sub-octet ,  These four parameters should be hidden parameters
01/02: NOT Config (config in Network Page)",,,,¤,,,,√,,,,,,,,,,,,,,,
271,P3.040,6,20.F5.24.01.30.05,UDINT,0x0000,,▲,●,,◊,,,7,0,0xFFFFFFFF,0xFFFFFF00,,,SubnetMask,Subnet Mask,Subnet mask,0x0350,32,All,"four sub-octet
01/02: NOT Config (config in Network Page)",,,,¤,,,,√,,,,,,,,,,,,,,,
272,P3.041,6,20.F5.24.01.30.05,UDINT,0x0000,,▲,●,,◊,,,7,0,0xFFFFFFFF,0xC0A801FE,,,DefaultGateway,Default Gateway,Default Gateway,0x0352,32,All,"four sub-octet
01/02: NOT Config (config in Network Page)
2019.01.11. Default changed from 0xC0A90101 to 0xC0A901FE.",,,,¤,,,,√,,,,,,,,,,,,,,,
273,P3.042,6,20.F5.24.01.30.03,UDINT,0x0000,,▲,●,,◊,,,7,0,1,0,,,DHCPEnable,DHCP Enable,DHCP Enable,0x0354,32,All,"0 - Disable, 1 - Enable
01/02: NOT Config (config in Network Page)",,,,¤,,,,√,,,,,,,,,,,,,,,
274,P4.000,0,,UDINT,0x0000,,,,■,,,,8,0x00000000,0xFFFFFFFF,0x00000000,,,FaultRecordN,Fault Record N,Fault Record (N),0x0400,32,All,"Changed to non-Volatile parameter.
2019.04.24. Delta removed ""read only"". Set 0 will reset all the fault records. But temp keep it for ODVA test.
2019.05.02. removed ""read only""",,,,¤,,,,,,,,,,,,,,,,,,,
275,P4.001,0,,UDINT,0x0010,★,,,■,,,,8,0x00000000,0xFFFFFFFF,0x00000000,,,FaultRecordN1,Fault Record N1,Fault Record (N-1),0x0402,32,All,Changed to non-Volatile parameter,,,,,,,,,,,,,,,,,,,,,,,
276,P4.002,0,,UDINT,0x0010,★,,,■,,,,8,0x00000000,0xFFFFFFFF,0x00000000,,,FaultRecordN2,Fault Record N2,Fault Record (N-2),0x0404,32,All,Changed to non-Volatile parameter,,,,,,,,,,,,,,,,,,,,,,,
277,P4.003,0,,UDINT,0x0010,★,,,■,,,,8,0x00000000,0xFFFFFFFF,0x00000000,,,FaultRecordN3,Fault Record N3,Fault Record (N-3),0x0406,32,All,Changed to non-Volatile parameter,,,,,,,,,,,,,,,,,,,,,,,
278,P4.004,0,,UDINT,0x0010,★,,,■,,,,8,0x00000000,0xFFFFFFFF,0x00000000,,,FaultRecordN4,Fault Record N4,Fault Record (N-4),0x0408,32,All,Changed to non-Volatile parameter,,,,,,,,,,,,,,,,,,,,,,,
279,P4.005,0,,INT,0x0000,,,,,,,,3,"0
0","5000
50000","20
20","1
","RPM
10um/s",JogOperation,Jog Operation,JOG Operation,0x040A,16,All,"Range: 0-50000 for linear motor, 0-5000 for rotary motor
01/02: NOT Config (JOG operation)",,,,¤,,,,,,,,,,,,,,,,,,,
280,P4.006,0,,UINT,0x0000,,,,■,,,,6,0x0000,0x00FF,0x0000,,,DOOverride,Digital Output Override,Digital Output Register (Readable and Writable),0x040C,16,All,"2019.01.30. max changed from 0xFFFF to 0x00FF?? 
2019.03.29. Changed max from 0xFFFF to 0x00FF per test result.",,,3,¤,,,,,,,,,,,,,,,,,,,
281,P4.007,0,,UINT,0x0000,,,,■,,,,6,0x0000,0x1FFF,0x0000,,,DIOverride,Digital Input Override,Multi-funciton of Digital Input,0x040E,16,All,"2019.01.07. Default 0x00E0 ? Change to 0 ?
2019.01.30. max changed from 0x3FFF to 0x1FFF??
2019.03.29. confirmed change.",,,3,¤,,,,,,,,,,,,,,,,,,,
282,P4.008,0,,UINT,0x0010,★,,,■,,,,6,0x0000,0x00FF,0x0000,,,KeypadInputStatus,Drive Keypad Input Status,Input Status of the Drive Keypad (Read-only),0x0410,16,All,,,,,,,,,,,,,,,,,,,,,,,,
283,P4.009,0,,UINT,0x0010,★,,,■,,,,6,0x0000,0x003F,0x0000,,,DOStatus,Digital Output Status,Digital Output Status,0x0412,16,All,12/06: Update for DO#5 Max 0x001F to 0x003F,,,,,,,,,,,,,,,,,,,,,,,
284,P4.010,0,,INT,0x0000,,,,■,,,,3,0,14,0,,,ExecuteHwCalibration,Hardware Calibration Function Execution,Adjustment Selection,0x0414,16,All,"01/02: NOT Config (use to Hw Calibration)
2019.01.17. P2.008 protected. Will modify to return Success directly if value is same with current value.
2019.02.18. modified.",,,,¤,,,,,,,,,,,,,,,,,,,
285,P4.011,0,,INT,0x0000,,,,,,,,3,0,32767,16384,,,PresetAnalogToVelocityOffset,Preset Analog to Velocity Offset,Analog Speed Input Offset Adjustment 1,0x0416,16,All,"01/02: NOT Config (Factory Setting for individual device)
2019.01.17. P2.008 protected. Will modify to return Success directly if value is same with current value.
2019.02.18. modified.",,,,¤,,,,,,,,,,,,,,,,,,,
286,P4.013,0,,INT,0x0000,,,,,,,,3,0,32767,16384,,,PresetAnalogToTorqueOffset,Preset Analog to Torque Offset,Analog Torque Input Offset Adjustment 1,0x041A,16,All,"01/02: NOT Config (Factory Setting for individual device)
2019.01.17. P2.008 protected. Will modify to return Success directly if value is same with current value.
2019.02.18. modified.",,,,¤,,,,,,,,,,,,,,,,,,,
287,P4.015,0,,INT,0x0000,,,,,,,,3,0,32767,16384,,,V1PhaseCurrentSensingOffset,V1 Phase Current Sensing Offset,Current Detector (V1 phase) offset Adjustment,0x041E,16,All,"01/02: NOT Config (Factory Setting for individual device)
2019.01.17. P2.008 protected. Will modify to return Success directly if value is same with current value.
2019.02.18. modified.",,,,¤,,,,,,,,,,,,,,,,,,,
288,P4.017,0,,INT,0x0000,,,,,,,,3,0,32767,16384,,,W1PhaseCurrentSensingOffset,W1 Phase Current Sensing Offset,Current Detector (W1 phase) Offset Adjustment,0x0422,16,All,"01/02: NOT Config (Factory Setting for individual device)
2019.01.17. P2.008 protected. Will modify to return Success directly if value is same with current value.
2019.02.18. modified.",,,,¤,,,,,,,,,,,,,,,,,,,
289,P4.019,0,,INT,0x0000,,,,,,,,3,1,4,2,,,IGBTNTCOffset,IGBT NTC Offset,IGBT NTC Adjustment Deteciton Level (cannot reset),0x0426,16,All,"01/02: NOT Config (Factory Setting for individual device)
2019.01.17. P2.008 protected. Will modify to return Success directly if value is same with current value.
2019.02.18. modified.",,,,¤,,,,,,,,,,,,,,,,,,,
290,P4.020,0,,INT,0x0000,,,,,,,,3,-800,800,0,,mV,AnalogOutput1Offset,Analog Output 1 Offset,Offset Adjustment Value of Analog Monitor (Ch1),0x0428,16,All,"01/02: NOT Config (Factory Setting for individual device)
2019.01.17. P2.008 protected. Will modify to return Success directly if value is same with current value.
2019.02.18. modified.",,,,¤,,,,,,,,,,,,,,,,,,,
291,P4.021,0,,INT,0x0000,,,,,,,,3,-800,800,0,,mV,AnalogOutput2Offset,Analog Output 2 Offset,Offset Adjustment Value of Analog Monitor (Ch2),0x042A,16,All,"01/02: NOT Config (Factory Setting for individual device)
2019.01.17. P2.008 protected. Will modify to return Success directly if value is same with current value.
2019.02.18. modified.",,,,¤,,,,,,,,,,,,,,,,,,,
292,P4.022,0,,INT,0x0000,,,,,,,,3,-5000,5000,0,,mV,UserAnalogToVelocityOffset,User-defined Analog to Velocity Offset,Analog Speed Input OFFSET,0x042C,16,S,,,,2,¤,,,,,,,,,,,,,,,,,,,
293,P4.023,0,,INT,0x0000,,,,,,,,3,-5000,5000,0,,mV,UserAnalogToTorqueOffset,User-defined Analog to Torque Offset,Analog Torque Input OFFSET,0x042E,16,T,,,,2,¤,,,,,,,,,,,,,,,,,,,
294,,0,,USINT,0x0010,★,,,,◊,,,255,0,0,0,,,Reserved294,Reserved294,,,,,"2019.03.29. Change to read only per test result.
2019.04.17. Deleted P4.024 DC Bus Under Voltage Threshold , inst-294 changed to reserved.",,,,,,,,,,,,,,,,,,,,,,,
295,P5.000,0,,DINT,0x0010,★,,,■,,,,3,-2147483648,2147483647,0,,,DSPFwSubVer,DSP Firmware Subversion,Firmware subversion,0x0500,32,All,"2019.04.24.delta changed datatype from UDINT to DINT, so as the min and max.",,,,,,,,,,,,,,,,,,,,,,,
296,P5.003,0,,UDINT,0x0000,,,,,,,,9,0x00000000,0xFFFFFFFF,0xEEEFEEFF,,,AutoProtectionDecelTime,Auto Protection Decel Time,Deceleration Time of Auto Protection,0x0506,32,All,,,,3,¤,,,,,,,,,,,,,,,,,,,
297,P5.004,0,,UINT,0x0000,,,,,,,⌂,9,0x0000,0x012A,0x0000,,,HomingMode,Homing Mode,Homing Mode,0x0508,16,PR/IO,2019.04.24. max changed from 0x128 to 0x012A.,,,4,¤,,,,,,,,,,,,,,,,√,,,
298,P5.005,0,,DINT,0x0000,,,,,,,,9,"1
1","20000
15999999","1000
1000","0.1
1","RPM
um/s",HomingSpeed,Homing Velocity,1st Speed Setting of High Speed Homing,0x050A,32,PR/IO,"Follow A3 range: (1)Panel/Soft: 0.1-6000.0(rotary), 0.1-1599999.9(linear) 
(2)Communication(parameter object): 1-60000()rotary, 1-15999999(linear). Need to check the range per the motor type.
2019.01.30. max changed from 80000 to 20000;
2019.03.29. Confirmed the change.
2019.04.24. Default changed from 200 to 2000.",,,4,¤,,,,,,,,,,,,,,,,√,,,
299,P5.006,0,,DINT,0x0000,,,,,,,,9,"1
1","5000
15999999","200
200","0.1
1","RPM
um/s",HomingCreepSpeed,Homing Creep Velocity,2nd Speed Setting of Low Speed Homing,0x050C,32,PR/IO,"Follow A3 range: (1)Panel/Soft: 0.1-6000.0(rotary), 0.1-1599999.9(linear) 
(2)Communication(parameter object): 1-60000()rotary, 1-15999999(linear)
2019.01.30.max changed from 80000 to 5000.
2019.03.29. Confirmed the change.
2019.04.24. Default changed from 20 to 200.",,,4,¤,,,,,,,,,,,,,,,,√,,,
300,P5.007,0,,INT,0x0000,,,,■,,,,9,0,20099,0,,,PRCmdTrigger,PR Command Trigger,Trigger Position Command (PR mode only),0x050E,16,PR/IO,"Range: 0~99, 1000
01/02: NOT Config (Force to execute PR)
2019.05.02. delta changed max from 1000 to 20099.",,,,¤,,,,,,,,,,,,,,,,,,,
301,P5.008,0,,DINT,0x0000,,,,,,,,9,-2147483648,2147483647,2147483647,,PUU,SoftTravelLimitPositive,Soft Travel Limit Positive,Forward Software Limit,0x0510,32,PR/IO,,,,4,¤,,,,,,,,,√,,,,,,,,,,
302,P5.009,0,,DINT,0x0000,,,,,,,,9,-2147483648,2147483647,-2147483648,,PUU,SoftTravelLimitNegative,Soft Travel Limit Negative,Reverse Software Limit,0x0512,32,PR/IO,"2019.01.11. Default changed form 2147483647 to -2147483647. A3 manual mistake.
2019.04.24. default change from -2147483647 to -2147483648.",,,4,¤,,,,,,,,,√,,,,,,,,,,
303,P5.010,0,,UINT,0x0010,★,,,■,,,,9,0,32767,800,,,DataArraySize,Data Array Size,Data Array.Data Size,0x0514,16,All,"01/02: UINT?
2019.01.07. Delta update to UINT. Min from -32768 to 0.
2019.01.11. Default changed from 0 to 800.",,,,,,,,,,,,,,,,,,,,,,,
304,P5.011,0,,INT,0x0000,,,,■,,,,9,0,32767,0,,,DataArrayRWAddress,Data Array Read/Write Address,Data Array: Address of Reading/Writing,0x0516,16,All,"2019.01.07. Default 10 differ to A3 manual (0).
2019.04.19. It's 0 already.",,,,,,,,,,,,,,,,,,,,,,,
305,P5.012,0,,DINT,0x0000,,,,■,,,,9,-2147483648,2147483647,0,,,DataArrayRWValue1,Data Array Read/Write Value1,Data Array.Window#1 for Reading/Writing,0x0518,32,All,,,,,,,,,,,,,,,,,,,,,,,,
306,P5.013,0,,DINT,0x0000,,,,■,,,,9,-2147483648,2147483647,0,,,DataArrayRWValue2,Data Array Read/Write Value2,Data Array.Window#2 for Reading/Writing,0x051A,32,All,,,,,,,,,,,,,,,,,,,,,,,,
307,P5.015,0,,UINT,0x0000,,,,■,,,⌂,9,0x0000,0x0011,0x0000,,,PRCmd1_2_PowerLossConfiguration,PR CMD#1#2 Power Loss Retention Configuration,PATH#1 ~ PATH#2 No Data Retained Setting,0x051E,16,All,,,,4,¤,,,,,,,,,,,,,,,,,,,
308,P5.016,0,,DINT,0x0000,,,,■,,,,9,-2147483648,2147483647,0,,PUU,FeedbackPosition,Feedback Position,Axis Position.Motor Encoder,0x0520,32,All,01/02: NOT Config (set is for observation purpose only),,,,,,,,,,,,,,,,,,,,,,,
309,P5.017,0,,DINT,0x0000,,,,,,,,9,-2147483648,2147483647,0,,Counts,AuxEncoderPosition,Auxiliary Encoder Position,Axis Position.Auxiliary Encoder,0x0522,32,All,01/02: NOT Config ?,,,,,,,,,,,,,,,,,,,,,,,
310,P5.018,0,,DINT,0x0000,,,,,,,,9,-2147483648,2147483647,0,,Counts,PulseCmdPosition,Pulse Command Position,Axis Position.Pulse Command,0x0524,32,All,01/02: NOT Config ?,2019.01.07. Default 1 differ to A3 manual.,,,,,,,,,,,,,,,,,,,,,,
311,P5.019,0,,DINT,0x0000,,,,,,,,9,-2147000000,2147000000,1000000,1e-06,,ECamCurveScale,E-Cam Curve Scale,E-Cam Curve Scaling,0x0526,32,PR/IO,,,,3,¤,,,,,,,,,,,,,,,,,√,,
312,P5.020,0,,UINT,0x0000,,,,,,,,9,1,65500,200,,ms,AccelDecelTime0,Accel / Decel Time 0,Acceleration / Deceleration Time (Number#0),0x0528,16,PR/IO,,,,4,¤,,,,,,,,,,,,,,√,,,,,
313,P5.021,0,,UINT,0x0000,,,,,,,,9,1,65500,300,,ms,AccelDecelTime1,Accel / Decel Time 1,Acceleration / Deceleration Time (Number#1),0x052A,16,PR/IO,,,,4,¤,,,,,,,,,,,,,,√,,,,,
314,P5.022,0,,UINT,0x0000,,,,,,,,9,1,65500,500,,ms,AccelDecelTime2,Accel / Decel Time 2,Acceleration / Deceleration Time (Number#2),0x052C,16,PR/IO,,,,4,¤,,,,,,,,,,,,,,√,,,,,
315,P5.023,0,,UINT,0x0000,,,,,,,,9,1,65500,600,,ms,AccelDecelTime3,Accel / Decel Time 3,Acceleration / Deceleration Time (Number#3),0x052E,16,PR/IO,,,,4,¤,,,,,,,,,,,,,,√,,,,,
316,P5.024,0,,UINT,0x0000,,,,,,,,9,1,65500,800,,ms,AccelDecelTime4,Accel / Decel Time 4,Acceleration / Deceleration Time (Number#4),0x0530,16,PR/IO,,,,4,¤,,,,,,,,,,,,,,√,,,,,
317,P5.025,0,,UINT,0x0000,,,,,,,,9,1,65500,900,,ms,AccelDecelTime5,Accel / Decel Time 5,Acceleration / Deceleration Time (Number#5),0x0532,16,PR/IO,,,,4,¤,,,,,,,,,,,,,,√,,,,,
318,P5.026,0,,UINT,0x0000,,,,,,,,9,1,65500,1000,,ms,AccelDecelTime6,Accel / Decel Time 6,Acceleration / Deceleration Time (Number#6),0x0534,16,PR/IO,,,,4,¤,,,,,,,,,,,,,,√,,,,,
319,P5.027,0,,UINT,0x0000,,,,,,,,9,1,65500,1200,,ms,AccelDecelTime7,Accel / Decel Time 7,Acceleration / Deceleration Time (Number#7),0x0536,16,PR/IO,,,,4,¤,,,,,,,,,,,,,,√,,,,,
320,P5.028,0,,UINT,0x0000,,,,,,,,9,1,65500,1500,,ms,AccelDecelTime8,Accel / Decel Time 8,Acceleration / Deceleration Time (Number#8),0x0538,16,PR/IO,,,,4,¤,,,,,,,,,,,,,,√,,,,,
321,P5.029,0,,UINT,0x0000,,,,,,,,9,1,65500,2000,,ms,AccelDecelTime9,Accel / Decel Time 9,Acceleration / Deceleration Time (Number#9),0x053A,16,PR/IO,,,,4,¤,,,,,,,,,,,,,,√,,,,,
322,P5.030,0,,UINT,0x0000,,,,,,,,9,1,65500,2500,,ms,AccelDecelTime10,Accel / Decel Time 10,Acceleration / Deceleration Time (Number#10),0x053C,16,PR/IO,,,,4,¤,,,,,,,,,,,,,,√,,,,,
323,P5.031,0,,UINT,0x0000,,,,,,,,9,1,65500,3000,,ms,AccelDecelTime11,Accel / Decel Time 11,Acceleration / Deceleration Time (Number#11),0x053E,16,PR/IO,,,,4,¤,,,,,,,,,,,,,,√,,,,,
324,P5.032,0,,UINT,0x0000,,,,,,,,9,1,65500,5000,,ms,AccelDecelTime12,Accel / Decel Time 12,Acceleration / Deceleration Time (Number#12),0x0540,16,PR/IO,,,,4,¤,,,,,,,,,,,,,,√,,,,,
325,P5.033,0,,UINT,0x0000,,,,,,,,9,1,65500,8000,,ms,AccelDecelTime13,Accel / Decel Time 13,Acceleration / Deceleration Time (Number#13),0x0542,16,PR/IO,,,,4,¤,,,,,,,,,,,,,,√,,,,,
326,P5.034,0,,UINT,0x0000,,,,,,,,9,1,1500,50,,ms,AccelDecelTime14,Accel / Decel Time 14,Acceleration / Deceleration Time (Number#14),0x0544,16,PR/IO,"2019.01.30. max changed to 1500?
2019.03.29. Confirmed the change.",,,4,¤,,,,,,,,,,,,,,√,,,,,
327,P5.035,0,,UINT,0x0000,,,,,,,,9,1,1200,30,,ms,AccelDecelTime15,Accel / Decel Time 15,Acceleration / Deceleration Time (Number#15),0x0546,16,PR/IO,"2019.01.30. max changed to 1200??
2019.03.29. Confirmed the change.",,,4,¤,,,,,,,,,,,,,,√,,,,,
328,P5.036,0,,INT,0x0000,,,,,,,,9,0,799,0,,,DI9CaptureStartAddress,CAPTURE Start Address (DI9),CAPTURE-Start Address of Data Array,0x0548,16,All,"In manual: max value is (P5.010 -1), for parameter object max value is 65535
12/18: Delta modified Max 65535 to 1999.",,,3,¤,,,,,,,,,,,,,,,,,,√,
329,P5.037,0,,DINT,0x0000,,,,■,,,,9,-2147483648,2147483647,0,,,DI9CaptureAxisPosition,CAPTURE Axis Position (DI9),CAPTURE-Axis Position CNT,0x054A,32,All,,"2019.01.07. Default -1  differ to A3 manual
…delta will confirm….",,3,¤,,,,,,,,,,,,,,,,,,√,
330,P5.038,0,,INT,0x0000,,,,■,,,,9,0,800,1,,,DI9CaptureRemainedCount,CAPTURE Remained Count (DI9),CAPTURE-The Number of Capturing Times,0x054C,16,All,"In manual: max value is (P5.010-P5.036), for parameter object max value is 65535
12/18: Delta modified Max 65535 to 1999.
2019.04.08. Default is 1 which is unresonable. Change min to 0??
2019.04.24. Min changed from 1 to 0. Set 0 will return ""Device state conflict""",,,3,¤,,,,,,,,,,,,,,,,,,√,
331,P5.039,0,,UDINT,0x0000,,,,■,,,⌂,9,0x00000000,0x6F00F13F,0x32002010,,,DI9CaptureControl,CAPTURE Control (DI9),CAPTURE-Activate CAP Control,0x054E,16,All,,,,3,¤,,,,,,,,,,,,,,,,,,√,
