"Kinetix 5100 Servo Drive Parameters 
For more information see:",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
248,ECamControlConfiguration,PR/IO,0x0000,0x6FF7,0x0000,,,UINT,"E-CAM Control Configuration
See E-Cam Alignment Control Switch in the user manual.

X: E-cam alignment control 
Bit0:Enable/Disable alignment 
0=Enable
1=Disable
Bit1: Trigger PR immediately 
0=Disable
1=Enable
Bit2: Position of the mark
0=If the mark is on the master axis, the position of the mark is not affected when aligning.
1=If the mark is on the slave axis, the position of the mark is affected when aligning. 
Bit3: Reserved
Y:Filter intensity
0=Disable
1…F=2˄(setting value)
UZ: Alignment forward direction allowable rate (0…100%)
0=Backward alignment
30=Forward 30%; backward 70%
50=Alignment with the shortest distance
80=Forward 80%; backward 20% 
100=Forward alignment",9-Motion_1,,,,x,P2.076
249,ECamDOCamArea2RisingEdgeAngle,PR/IO,0,360,270,,Degrees,INT,"E-Cam DO.CAM_Area2 Rising Edge Angle
See Digital Output CAM_Area Settings in the user manual.

1. ID249 (P2.078)>=ID250 (P2.079): DO.CAM_AREA2 (0x1A) is on when the master axis position angle is bigger than ID250 (P2.079) but not bigger than ID249 (P2.078).
2.ID249 (P2.078)<ID250 (P2.079): DO.CAM_AREA2 (0x1A) is on when the master axis position angle is bigger than ID249 (P2.078) but not bigger than ID250 (P2.079.",9-Motion_1,,,,,P2.078
250,ECamDOCamArea2FallingEdgeAngle,PR/IO,0,360,360,,Degrees,INT,"E-Cam DO.CAM_Area2 Falling Edge Angle
See Digital Output CAM_Area Settings in the user manual.

1. ID249 (P2.078)>=ID250 (P2.079): DO.CAM_AREA2 (0x1A) is on when the master axis position angle is bigger than P2.079 but not bigger than ID249 (P2.078).
2.ID249 (P2.078)<ID250 (P2.079): DO.CAM_AREA2 (0x1A) is on when the master axis position angle is bigger than ID249 (P2.078) but not bigger than ID250 (P2.079).",9-Motion_1,,,,,P2.079
296,AutoProtectionDecelTime,All,0x00000000,0xFFFFFFFF,0xEEEFEEFF,,,UDINT,"Auto Protection Decel Time
The parameter setting is divided into D, C, B, A, U, Z, Y, X (hexadecimal), including:
1. Deceleration time when activating auto-protection function: OVF, SPL, SNL, PL, NL
2. Deceleration time of stop command: STP, PFQS
0…F is used for indexing the deceleration time of ID312 (P5.020)…ID327 (P5.035). For example: If X is set to A, then the deceleration time of PL is determined by ID322 (P5.030).

Range: 0…F
D: Function DI.STP  (0x46)
C: Function DI.PFQS (0x47)
B: Reserved
A: Function DO.OVF (0x12)
U: Function DO.SNL (0x13)
Z: Function DO.SPL (0x14)
Y: Function DI.NL (0x22)
X: Function DI.PL (0x23)",9-Motion_1,,,,,P5.003
297,HomingMode,PR/IO,0x0000,0x012A,0x0000,,,UINT,"Homing Mode
Together, the X (homing mode), Y (Z pulse setting), and Z (limit setting) values determine how the homing function operates.
See Setting Homing Mode ID297 (P5.004) in the user manual.

X: Homing mode
0=Homing in forward direction and PL is homing origin
1=Homing in reverse direction and NL is homing origin
2=Homing in forward direction, ORG: Off→On is homing origin
3=Homing in reverse direction, ORG: On→Off is homing origin
4=Look for Z pulse in forward direction and use it as homing origin
5=Look for Z pulse in reverse direction and use it as homing origin
6=Homing in forward direction, ORG: On→Off is homing origin
7=Homing in reverse direction, ORG: Off→On is homing origin
8=Define current position as the origin
9=Look for the collision point in forward direction and use it as homing origin
A=Look for the collision point in reverse direction and use it as homing origin
Y: Z pulse setting
0=Return to Z pulse
1=Go forward to Z pulse
2=Do not look for Z pulse
Z: Limit setting
0=Show error when encounter limit
1=Reverse direction when encounter limit
W: Reserved","9-Motion_1
23-Homing Setting",,,,,P5.004
298,HomingSpeed,PR/IO,"1
1","20000
15999999","1000
1000","0.1
1","RPM
um/s",DINT,"Homing Velocity
The first speed setting of high speed homing.
See Origin and Speed Settings for Homing in the user manual.","9-Motion_1
23-Homing Setting",,,,,P5.005
299,HomingCreepSpeed,PR/IO,"1
1","5000
15999999","200
200","0.1
1","RPM
um/s",DINT,"Homing Creep Velocity
The second speed setting of low speed homing.
See Origin and Speed Settings for Homing in the user manual.","9-Motion_1
23-Homing Setting",,,,,P5.006
300,PRCmdTrigger,PR/IO,0,20099,0,,,INT,"PR Command Trigger
For example, set this value to 2 to start executing PR#2.
When reading ID300 (P5.007), if the command is incomplete, the drive reads the current command (1 … 99). If the command is completed, the drive reads the current command +10000. If the command is completed, DO.TPOS is on, and motor position reached, the drive reads the current command +20000.
Commands triggered by DI are also applicable.

0=Start homing
1…99=Execute the specified PR procedure (same as using DI:CRTG+POSn)
100…999=Reserved
1000=Execute stop command (same as DI.STOP)",9-Motion_1,,,,x,P5.007
301,SoftTravelLimitPositive,PR/IO,-2147483648,2147483647,2147483647,,PUU,DINT,"Soft Travel Limit Positive
If the motor rotates in the forward direction and its feedback position exceeds this value, A 283 [Software positive limit] fault occurs.","9-Motion_1
16-Limit",,,,,P5.008
302,SoftTravelLimitNegative,PR/IO,-2147483648,2147483647,-2147483648,,PUU,DINT,"Soft Travel Limit Negative
If the motor rotates in the reverse direction and its feedback position exceeds this value, A 285 [Software negative limit] fault occurs.","9-Motion_1
16-Limit",,,,,P5.009
303,DataArraySize,All,0,32767,800,,,UINT,"Data Array Size
Data size (N x 32 bits) means size N of data array.",9-Motion_1,x,,,x,P5.010
304,DataArrayRWAddress,All,0,32767,0,,,INT,"Data Array Read/Write Address
Specify the address in the data array when reading / writing data.
See Data Array in the user manual.",9-Motion_1,,,,x,P5.011
305,DataArrayRWValue1,All,-2147483648,2147483647,0,,,DINT,"Data Array Read/Write Value1
See Data Array in the user manual for detailed information on how reading and writing methods differ.",9-Motion_1,,,,x,P5.012
306,DataArrayRWValue2,All,-2147483648,2147483647,0,,,DINT,"Data Array Read/Write Value2
See Data Array in the user manual for detailed information on how reading and writing methods differ.",9-Motion_1,,,,x,P5.013
307,PRCmd1_2_PowerLossConfiguration,All,0x0000,0x0011,0x0000,,,UINT,"PR CMD#1#2 Power Loss Retention Configuration
This parameter allows users to write data to target continuously via communication.

X: PR CMD#1 setting
0=Non-volatile
1=Volatile
Y: PR CMD#2 setting
0=Non-volatile
1=Volatile
UZ: Reserved",9-Motion_1,,,,x,P5.015
308,FeedbackPosition,All,-2147483648,2147483647,0,,PUU,DINT,"Feedback Position
Read: Feedback position of the motor encoder, which is the monitoring variable 000 (00h) + offset value.
Write: Any value can be written into the parameter and will neither change monitoring variable 000 (00h) nor affect the positioning coordinate system. It is only for observation when adjusting the offset value.",9-Motion_1,,,,x,P5.016
309,AuxEncoderPosition,All,-2147483648,2147483647,0,,Counts,DINT,"Auxiliary Encoder Position
Pulse counts of the auxiliary encoder.",9-Motion_1,,,,,P5.017
310,PulseCmdPosition,All,-2147483648,2147483647,0,,Counts,DINT,"Pulse Command Position
Pulse counts of the pulse command.",9-Motion_1,,,,,P5.018
311,ECamCurveScale,PR/IO,-2147000000,2147000000,1000000,1e-06,,DINT,"E-Cam Curve Scale
This parameter is used to magnify / demagnify the E-Cam table without changing its setting value. 
Example: The data in the table is 0, 10, 20, 30, 40, 20, magnification x 2.000000 equals the data: 0, 20, 40, 60, 80, 40, magnification x 1.000000.
Enable the operation of E-Cam with the same pulse frequency of the master axis. Magnify the magnification will enlarge the route of E-Cam operation and the speed will be magnified as well.
This parameter can be set at any time, but the time at which it becomes effective is determined by ID376 (P5.088.X) [Bit2].","9-Motion_1
24-E-CAM",,,,,P5.019
312,AccelDecelTime0,PR/IO,1,65500,200,,ms,UINT,"Accel / Decel Time 0
The duration of acceleration and deceleration in PR mode, which is the length of time to accelerate from 0 to 3000 rpm or decelerate from 3000 to 0 rpm.
","9-Motion_1
21-Speed Setting",,,,,P5.020
313,AccelDecelTime1,PR/IO,1,65500,300,,ms,UINT,"Accel / Decel Time 1
The duration of acceleration and deceleration in PR mode, which is the length of time to accelerate from 0 to 3000 rpm or decelerate from 3000 to 0 rpm.","9-Motion_1
21-Speed Setting",,,,,P5.021
314,AccelDecelTime2,PR/IO,1,65500,500,,ms,UINT,"Accel / Decel Time 2
The duration of acceleration and deceleration in PR mode, which is the length of time to accelerate from 0 to 3000 rpm or decelerate from 3000 to 0 rpm.","9-Motion_1
21-Speed Setting",,,,,P5.022
315,AccelDecelTime3,PR/IO,1,65500,600,,ms,UINT,"Accel / Decel Time 3
The duration of acceleration and deceleration in PR mode, which is the length of time to accelerate from 0 to 3000 rpm or decelerate from 3000 to 0 rpm.","9-Motion_1
21-Speed Setting",,,,,P5.023
316,AccelDecelTime4,PR/IO,1,65500,800,,ms,UINT,"Accel / Decel Time 4
The duration of acceleration and deceleration in PR mode, which is the length of time to accelerate from 0 to 3000 rpm or decelerate from 3000 to 0 rpm.","9-Motion_1
21-Speed Setting",,,,,P5.024
317,AccelDecelTime5,PR/IO,1,65500,900,,ms,UINT,"Accel / Decel Time 5
The duration of acceleration and deceleration in PR mode, which is the length of time to accelerate from 0 to 3000 rpm or decelerate from 3000 to 0 rpm.","9-Motion_1
21-Speed Setting",,,,,P5.025
318,AccelDecelTime6,PR/IO,1,65500,1000,,ms,UINT,"Accel / Decel Time 6
The duration of acceleration and deceleration in PR mode, which is the length of time to accelerate from 0 to 3000 rpm or decelerate from 3000 to 0 rpm.","9-Motion_1
21-Speed Setting",,,,,P5.026
319,AccelDecelTime7,PR/IO,1,65500,1200,,ms,UINT,"Accel / Decel Time 7
Sets the duration to accelerate or decelerate for PR mode. ","9-Motion_1
21-Speed Setting",,,,,P5.027
320,AccelDecelTime8,PR/IO,1,65500,1500,,ms,UINT,"Accel / Decel Time 8
The duration of acceleration and deceleration in PR mode, which is the length of time to accelerate from 0 to 3000 rpm or decelerate from 3000 to 0 rpm.","9-Motion_1
21-Speed Setting",,,,,P5.028
321,AccelDecelTime9,PR/IO,1,65500,2000,,ms,UINT,"Accel / Decel Time 9
The duration of acceleration and deceleration in PR mode, which is the length of time to accelerate from 0 to 3000 rpm or decelerate from 3000 to 0 rpm.","9-Motion_1
21-Speed Setting",,,,,P5.029
322,AccelDecelTime10,PR/IO,1,65500,2500,,ms,UINT,"Accel / Decel Time 10
The duration of acceleration and deceleration in PR mode, which is the length of time to accelerate from 0 to 3000 rpm or decelerate from 3000 to 0 rpm.","9-Motion_1
21-Speed Setting",,,,,P5.030
323,AccelDecelTime11,PR/IO,1,65500,3000,,ms,UINT,"Accel / Decel Time 11
The duration of acceleration and deceleration in PR mode, which is the length of time to accelerate from 0 to 3000 rpm or decelerate from 3000 to 0 rpm.","9-Motion_1
21-Speed Setting",,,,,P5.031
324,AccelDecelTime12,PR/IO,1,65500,5000,,ms,UINT,"Accel / Decel Time 12
The duration of acceleration and deceleration in PR mode, which is the length of time to accelerate from 0 to 3000 rpm or decelerate from 3000 to 0 rpm.","9-Motion_1
21-Speed Setting",,,,,P5.032
325,AccelDecelTime13,PR/IO,1,65500,8000,,ms,UINT,"Accel / Decel Time 13
The duration of acceleration and deceleration in PR mode, which is the length of time to accelerate from 0 to 3000 rpm or decelerate from 3000 to 0 rpm.","9-Motion_1
21-Speed Setting",,,,,P5.033
